year,statefip,region4,region9,effort,inc_effort,predicted_fedrevpp0_,predicted_fedrevpp10_,predicted_fedrevpp20_,predicted_fedrevpp30_,fairness_fedrevpp,predicted_strevpp0_,predicted_strevpp10_,predicted_strevpp20_,predicted_strevpp30_,fairness_strevpp,predicted_locrevpp0_,predicted_locrevpp10_,predicted_locrevpp20_,predicted_locrevpp30_,fairness_locrevpp,predicted_slocrev0_,predicted_slocrev10_,predicted_slocrev20_,predicted_slocrev30_,fairness,syst_prog,predicted_curexpp0_,predicted_curexpp10_,predicted_curexpp20_,predicted_curexpp30_,fairness_curexpp,necm_predcost_state,necm_ppcstot_state,necm_enroll_state,necm_outcomegap_state,necm_fundinggap_state,necm_predcost_q1,necm_ppcstot_q1,necm_enroll_q1,necm_outcomegap_q1,necm_fundinggap_q1,necm_predcost_q2,necm_ppcstot_q2,necm_enroll_q2,necm_outcomegap_q2,necm_fundinggap_q2,necm_predcost_q3,necm_ppcstot_q3,necm_enroll_q3,necm_outcomegap_q3,necm_fundinggap_q3,necm_predcost_q4,necm_ppcstot_q4,necm_enroll_q4,necm_outcomegap_q4,necm_fundinggap_q4,necm_predcost_q5,necm_ppcstot_q5,necm_enroll_q5,necm_outcomegap_q5,necm_fundinggap_q5,predicted_tchph0_,predicted_tchph10_,predicted_tchph20_,predicted_tchph30_,fairness_tchph,count,enrolled,lowinc_ec,lowinc_enrolled,ec_enrollshare,ec_lowinc_enrollshare,ec_enrollgapratio,tchsalary25_30,nontchsal25_30,tchsalary31_40,nontchsal31_40,tchsalary41_50,nontchsal41_50,tchsalary51_60,nontchsal51_60,sal_parity25,sal_parity35,sal_parity45,sal_parity55,pred_csd_pov60,pred_csd_pov80,pred_csd_pov100,pred_csd_pov120,pred_csd_pov140,pred_csd_pov160,csd_ratio,pred_css_pov60,pred_css_pov80,pred_css_pov100,pred_css_pov120,pred_css_pov140,pred_css_pov160,css_ratio,pred_salratio_pov60,pred_salratio_pov80,pred_salratio_pov100,pred_salratio_pov120,pred_salratio_pov140,pred_salratio_pov160,sal_ratio,ftotinc_under185pov,ftotinc_over185pov,ftotinc_under130pov,ftotinc_over130pov,inc_gap185_ratio,inc_gap130_ratio,coverage,state_chartershare,inc_pubsch,inc_nonpubsch,pubprv_incratio
2022,13,3,7,0.0345532,0.041867,1336.564,2037.815,3106.988,4737.122,3.544254,7266.804,7565.32,7876.099,8199.645,1.12837,3705.891,3834.925,3968.451,4106.626,1.108135,9650.866,10254.66,10896.23,11577.95,1.199679,0.428802,8937.13,10068.79,11343.75,12780.16,1.430007,16525.39,13556.86,1699426.0,,-2968.533,13560.61,12764.91,819624.0,,-795.6973,16220.44,13135.74,341567.0,,-3084.691,19865.84,15707.98,317271.0,,-4157.861,21295.92,13452.93,147735.0,,-7842.984,27034.48,15274.81,73229.0,,-11759.67,6.703466,6.962208,7.230937,7.510038,1.120322,253198.0,123899.0,91737.0,37834.0,0.4893364,0.4124181,0.842811,26011.71,36960.61,30273.49,42938.76,35224.97,49794.84,39102.95,55849.73,0.7037686,0.7050387,0.7074021,0.7001457,,,,,,,,,,,,,,,,,,,,,,33326.44,152439.7,23334.82,138437.9,0.2186204,0.168558,0.8621425,0.0417923,117326.7,181859.6,0.6451501
2022,15,4,6,0.025703,0.0285935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35056.0,14184.0,7804.0,2638.0,0.4046098,0.3380318,0.8354513,31843.61,37007.43,35771.76,42055.32,41043.41,47804.87,45251.13,52979.69,0.8604653,0.8505882,0.8585613,0.8541223,,,,,,,,,,,,,,,,,,,,,,36894.44,158181.0,27015.12,146789.5,0.2332419,0.1840399,0.7605546,0.0724564,128139.4,187223.4,0.6844198
2022,16,4,4,0.0278536,0.0273133,1014.732,1901.486,3563.157,6676.93,6.579997,7478.421,7679.964,7886.939,8099.493,1.083048,1697.585,1495.883,1318.146,1161.528,0.6842235,7259.069,7691.135,8148.921,8633.952,1.189402,0.1100089,6411.965,7863.276,9643.083,11825.74,1.844324,10578.55,9648.729,285240.0,,-929.8199,9403.817,8994.579,97026.0,,-409.2383,9973.647,10213.06,83265.0,,239.415,11033.65,9155.806,71827.0,,-1877.846,13291.49,10525.43,23395.0,,-2766.054,17588.8,12874.29,9727.0,,-4714.51,5.297112,5.703295,6.140624,6.611487,1.24813,46129.0,19239.0,15329.0,5560.0,0.4170695,0.3627112,0.869666,23356.99,34389.41,26984.48,39599.32,31081.63,45141.65,34448.81,50414.82,0.6791912,0.6814381,0.6885355,0.6833072,,,,,,,,,,,,,,,,,,,,,,40786.29,142777.8,27676.33,129343.7,0.2856628,0.2139751,0.863786,0.098389,114076.8,119697.2,0.9530445
2022,17,2,1,0.0398349,0.0467153,912.5283,1627.269,2901.832,5174.7,5.670728,7131.91,9059.885,11509.05,14620.31,2.049985,8246.806,6305.996,4821.938,3687.138,0.447099,14761.51,14616.42,14472.75,14330.5,0.9708014,-0.0032378,13320.23,13830.08,14359.44,14909.06,1.119279,16116.83,18499.39,1847988.0,,2382.556,9836.492,18439.74,455879.0,,8603.252,12501.45,18598.14,277613.0,,6096.694,14753.13,17616.13,249156.0,,2862.996,16861.72,16960.69,221790.0,,98.9707,22396.56,19371.29,643550.0,,-3025.27,7.510839,7.353353,7.199168,7.048215,0.9384058,281354.0,151676.0,89231.0,43575.0,0.5390931,0.4883392,0.9058533,31319.45,40529.57,36116.17,46605.05,41373.32,53513.66,45987.68,59872.46,0.7727556,0.7749411,0.7731355,0.768094,,,,,,,,,,,,,,,,,,,,,,33447.6,168813.1,23571.75,155457.4,0.1981339,0.1516284,0.8494423,0.0348537,134519.4,162610.8,0.8272479
2022,18,2,1,0.0292429,0.0334678,947.5009,1525.805,2457.076,3956.745,4.17598,8894.242,9649.471,10468.83,11357.76,1.276978,3354.441,3061.398,2793.956,2549.878,0.7601499,10419.51,10778.21,11149.26,11533.09,1.106875,0.4190096,8658.229,9818.392,11134.01,12625.92,1.458257,12376.33,12205.91,978624.0,,-170.422,8672.583,11121.01,265645.0,,2448.424,9921.378,11486.88,119635.0,,1565.503,11914.96,12113.61,187994.0,,198.6436,13717.1,12272.05,154309.0,,-1445.051,16986.82,13725.05,251041.0,,-3261.773,5.865696,6.305857,6.779047,7.287745,1.242435,161873.0,67626.0,53154.0,18841.0,0.417772,0.3544606,0.8484548,26647.15,34004.58,30470.52,38913.04,34713.22,44403.28,38405.7,49356.03,0.7836343,0.7830414,0.7817717,0.778136,,,,,,,,,,,,,,,,,,,,,,35749.3,134801.5,23855.29,122190.0,0.2651996,0.1952311,0.8339587,0.0522568,105795.2,132951.5,0.7957425
2022,19,2,9,0.035103,0.0427369,1058.16,1785.564,3013.004,5084.214,4.804768,7313.619,8619.134,10157.69,11970.88,1.636793,5193.27,4264.616,3502.023,2875.796,0.5537544,11407.65,11681.73,11962.39,12249.8,1.073824,0.1974731,9274.616,10429.44,11728.06,13188.38,1.421986,11633.75,12571.78,510661.0,,938.031,8278.607,11502.8,124571.0,,3224.192,9771.831,12137.1,95825.0,,2365.271,11634.93,13080.92,77898.0,,1445.988,12310.51,12782.64,66980.0,,472.1348,15423.29,13404.26,145387.0,,-2019.026,6.51083,6.884766,7.280178,7.6983,1.182384,76934.0,35924.0,23345.0,10075.0,0.4669457,0.4315699,0.9242401,28872.79,34722.36,32781.54,39413.55,37011.18,44454.27,40767.29,49033.22,0.831533,0.8317328,0.8325676,0.8314219,,,,,,,,,,,,,,,,,,,,,,37146.39,131435.0,24745.46,121514.3,0.2826217,0.2036423,0.8837289,0.0003368,109296.3,134811.0,0.8107369
2022,20,2,9,0.0365339,0.0418003,859.4816,1271.939,1882.332,2785.647,3.241078,10179.47,11716.25,13485.03,15520.83,1.524719,3382.555,2510.261,1862.914,1382.505,0.4087162,11334.04,11786.09,12256.16,12744.98,1.124486,0.0131493,9466.108,10936.9,12636.21,14599.55,1.542297,12354.72,13833.63,478848.0,,1478.911,8592.612,12621.46,167864.0,,4028.844,10269.27,13293.48,69411.0,,3024.212,13008.24,14201.29,43269.0,,1193.052,13926.78,14308.98,71449.0,,382.1973,17365.77,15340.1,126855.0,,-2025.678,6.882902,7.603792,8.400185,9.279989,1.348267,75046.0,35204.0,24106.0,9245.0,0.469099,0.3835145,0.8175555,25204.52,32842.94,28624.73,37481.48,32294.28,42339.17,35703.88,46850.19,0.7674257,0.7637033,0.7627518,0.7620862,,,,,,,,,,,,,,,,,,,,,,35947.56,140305.0,26841.23,129015.8,0.2562101,0.2080461,0.8277882,0.0063832,112773.6,134400.0,0.8390897
2022,21,3,2,0.0359851,0.0384215,1821.578,2455.876,3311.046,4463.998,2.450621,6969.686,7782.809,8690.797,9704.715,1.392418,4885.93,3941.334,3179.357,2564.693,0.524914,10184.34,10446.69,10715.8,10991.85,1.07929,0.3957632,10015.97,10713.6,11459.83,12258.04,1.22385,12649.52,13549.32,654098.0,,899.7957,10200.46,12728.73,242755.0,,2528.27,13326.58,15058.98,181918.0,,1732.397,12695.84,12705.23,95803.0,,9.392578,14384.0,13282.24,71970.0,,-1101.763,18198.18,13949.24,61652.0,,-4248.94,6.389421,6.564535,6.744448,6.929292,1.084494,111410.0,40934.0,45799.0,13237.0,0.3674176,0.2890238,0.7866356,24176.41,32610.09,28304.54,37835.96,32923.47,44028.52,36711.29,49510.5,0.7413783,0.7480856,0.7477762,0.7414849,,,,,,,,,,,,,,,,,,,,,,32045.08,134777.9,22950.96,120804.8,0.2377622,0.1899838,0.7984674,0.0,95625.91,146205.4,0.654052
2022,22,3,8,0.0351005,0.0389532,1799.455,2318.258,2986.638,3847.719,2.138269,6094.603,6367.369,6652.344,6950.073,1.140365,5265.624,5022.597,4790.788,4569.676,0.8678319,11235.86,11109.39,10984.34,10860.7,0.9666098,0.2090683,11380.77,11777.22,12187.48,12612.04,1.108189,17901.83,14954.85,601823.0,,-2946.979,13336.77,14096.58,185573.0,,759.8086,17619.43,16123.82,192274.0,,-1495.61,19855.12,14388.84,112100.0,,-5466.275,20577.52,14572.17,72780.0,,-6005.356,30377.51,15615.04,39096.0,,-14762.47,5.95612,5.882815,5.810413,5.738902,0.9635304,106389.0,57223.0,47117.0,22193.0,0.5378658,0.4710189,0.8757184,25828.83,34203.7,29926.79,39713.27,34699.08,46067.69,38965.46,51958.25,0.7551473,0.7535713,0.7532194,0.7499379,,,,,,,,,,,,,,,,,,,,,,30455.5,126216.5,22075.07,111100.5,0.2412957,0.1986945,0.7822947,0.1472813,84811.61,143499.9,0.5910222
2022,23,1,5,0.0376929,0.0377471,920.8677,1650.832,2959.431,5305.347,5.761248,5576.73,7860.76,11080.25,15618.32,2.800623,9328.792,6308.756,4266.403,2885.229,0.3092821,15765.77,14581.35,13485.91,12472.76,0.7911289,-0.1440459,14579.17,14395.91,14214.95,14036.26,0.9627615,11505.86,17533.76,127067.0,,6027.9,8655.297,18365.75,36033.0,,9710.455,11506.86,17720.78,28912.0,,6213.921,11028.7,16549.07,22819.0,,5520.364,12172.58,16902.47,25658.0,,4729.889,18575.58,17774.17,13645.0,,-801.4102,8.395306,8.524161,8.654996,8.787838,1.046756,22358.0,8466.0,5463.0,812.0,0.3786564,0.1486363,0.392536,27270.27,35615.03,31755.3,40481.31,36292.33,46246.25,39989.52,51285.66,0.7656956,0.7844436,0.7847627,0.7797407,,,,,,,,,,,,,,,,,,,,,,34082.19,140372.8,24828.72,129858.4,0.2427976,0.1911985,0.859737,0.0180907,114306.5,104645.9,1.092318
